,Unnamed: 0,상품명,가격,이미지,카테고리,색상,사이즈,재질,디자인
99,99,[쿠션+상품권 증정] 로한 4인용 아쿠아텍스 스웨이드 패브릭소파 9colors,"469,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/169171672763094885.jpg?w=360&h=360&c=c&q=50,소파,옐로우,200cm x 150cm x 90cm,금속,모던
100,100,홈즈 양면 홈바형 생활발수 3인용 접이식 패브릭 소파베드(쿠션 2개증정),"299,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/169416063206629827.jpg?w=360&h=360&c=c&q=50,소파,옐로우,180cm x 140cm x 80cm,플라스틱,클래식
101,101,뮤즈 1인용 생활발수 패브릭 소파 1인 좌식겸용,"139,000",https://prs.ohou.se/apne2/any/uploads/productions/v1-253904451027008.jpg?w=360&h=360&c=c&q=50,소파,옐로우,190cm x 130cm x 70cm,아크릴,미니멀
102,102,한샘몰pick 눕 데일리 구스 아쿠아텍스 패브릭 모듈 소파 4인용4colors,"711,900",https://prs.ohou.se/apne2/any/uploads/productions/v1-232351687671808.jpg?w=360&h=360&c=c&q=50,소파,그린,210cm x 160cm x 75cm,유리,빈티지
103,103,한샘몰pick티렌토 리세 아쿠아텍스 3인용 패브릭 소파 3colors,"269,900",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/165882516717645937.jpg?w=360&h=360&c=c&q=50,소파,그린,200cm x 170cm x 85cm,합성목재,컨템포러리
104,104,한샘몰pick 눕 데일리 구스 아쿠아텍스 패브릭 모듈 소파 3인용4colors,"511,900",https://prs.ohou.se/apne2/any/uploads/productions/v1-231694880034880.jpg?w=360&h=360&c=c&q=50,소파,그린,190cm x 160cm x 90cm,대나무,스칸디나비아
105,105,한샘몰pick 눕 데일리 구스 아쿠아텍스 패브릭 모듈 소파 스툴 4colors,"115,900",https://prs.ohou.se/apne2/any/uploads/productions/v1-231694402539584.jpg?w=360&h=360&c=c&q=50,소파,그린,180cm x 150cm x 80cm,코팅철재,러스틱
106,106,최종가 188692원ㅣ코지 2인용 아쿠아텍스 패브릭 소파 3colors,"239,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/168794034429906348.jpg?w=360&h=360&c=c&q=50,소파,그린,200cm x 190cm x 70cm,스테인레스,인더스트리얼
107,107,한샘몰pick 눕 데일리 구스 아쿠아텍스 패브릭 모듈 소파 1인암리스,"185,900",https://prs.ohou.se/apne2/any/uploads/productions/v1-231694581592128.jpg?w=360&h=360&c=c&q=50,소파,그린,210cm x 180cm x 75cm,세라믹,트로피컬
108,108,루비 2인쇼파 생활방수 패브릭 소파 7colors,"139,000",https://prs.ohou.se/apne2/any/uploads/productions/v1-236909622976512.jpg?w=360&h=360&c=c&q=50,소파,그린,190cm x 200cm x 85cm,목재,모던
109,109,체스터 빈티지 2인 소파 레더룩/우유니/올리브그린/피넛버터(신규색상 추가!!),"199,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/170304773189602890.jpg?w=360&h=360&c=c&q=50,소파,그린,200cm x 180cm x 90cm,금속,클래식
110,110,한샘몰pick 눕 데일리 구스 아쿠아텍스 패브릭 모듈 소파 4인용4colors,"711,900",https://prs.ohou.se/apne2/any/uploads/productions/v1-232351687671808.jpg?w=360&h=360&c=c&q=50,소파,라이트블루,180cm x 170cm x 80cm,플라스틱,미니멀
111,111,"쿠폰가 338,400원 / 프라제르 아쿠아텍스 4인용 패브릭 소파 (카우치 선택)","376,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/168204564790486727.jpg?w=360&h=360&c=c&q=50,소파,라이트블루,190cm x 160cm x 70cm,아크릴,빈티지
112,112,냉감소재 OPEN! 모니 패브릭 1인 좌식 쇼파 각도조절 좌식의자 원룸인테리어,"38,900",https://image.ohou.se/i/bucketplace-v2-development/uploads/openapi/597731/1712127677432.jpg?w=360&h=360&c=c&q=50,소파,라이트블루,210cm x 150cm x 75cm,유리,컨템포러리
113,113,한샘몰pick 눕 데일리 구스 아쿠아텍스 패브릭 모듈 소파 3인용4colors,"511,900",https://prs.ohou.se/apne2/any/uploads/productions/v1-231694880034880.jpg?w=360&h=360&c=c&q=50,소파,라이트블루,200cm x 140cm x 85cm,합성목재,스칸디나비아
114,114,한샘몰pick 눕 데일리 구스 아쿠아텍스 패브릭 모듈 소파 스툴 4colors,"115,900",https://prs.ohou.se/apne2/any/uploads/productions/v1-231694402539584.jpg?w=360&h=360&c=c&q=50,소파,라이트블루,190cm x 130cm x 90cm,대나무,러스틱
115,115,최종가 188692원ㅣ코지 2인용 아쿠아텍스 패브릭 소파 3colors,"239,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/168794034429906348.jpg?w=360&h=360&c=c&q=50,소파,라이트블루,180cm x 160cm x 80cm,코팅철재,인더스트리얼
116,116,루비 2인쇼파 생활방수 패브릭 소파 7colors,"139,000",https://prs.ohou.se/apne2/any/uploads/productions/v1-236909622976512.jpg?w=360&h=360&c=c&q=50,소파,네이비,200cm x 170cm x 70cm,스테인레스,트로피컬
117,117,리도 각도조절 3인용 쇼파 패브릭룩 컵홀더 소파베드 4colors,"163,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/169111664263674469.jpg?w=360&h=360&c=c&q=50,소파,네이비,210cm x 180cm x 75cm,세라믹,모던
118,118,[5%쿠폰]와이드 패브릭 좌식 접이식 소파베드 M/L사이즈 5colors (쿠션2개증정),"85,900",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/168445919719447608.jpg?w=360&h=360&c=c&q=50,소파,네이비,190cm x 150cm x 85cm,목재,클래식
119,119,단독 SAND 2인용 확장형 패브릭 침대겸 소파베드 SS/Q 7colors,"269,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/170228037480535352.jpg?w=360&h=360&c=c&q=50,소파,네이비,200cm x 140cm x 90cm,금속,미니멀
120,120,"최종가 469,000원ㅣ미엘 4인 무빙헤드 가죽 소파 2colors","499,000",https://prs.ohou.se/apne2/any/uploads/productions/v1-212913690382400.jpg?w=360&h=360&c=c&q=50,소파,네이비,180cm x 170cm x 80cm,플라스틱,빈티지
121,121,"최종가 319,000원ㅣ미엘 3인 무빙헤드 가죽 소파 2colors","349,000",https://prs.ohou.se/apne2/any/uploads/productions/v1-212934556262400.jpg?w=360&h=360&c=c&q=50,소파,네이비,190cm x 160cm x 70cm,아크릴,컨템포러리
122,122,[쿠션&헤드레스트증정][단독] 퍼스트 컴팩트 4인 스윙기능 리브 패브릭소파(스툴 선택),"2,350,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/169164777830427946.jpg?w=360&h=360&c=c&q=50,소파,퍼플,210cm x 150cm x 75cm,유리,스칸디나비아
123,123,[06.17-23브랜드위크][단독]알토 3.5인 리브 패브릭 소파,"2,620,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/165762477071522534.jpg?w=360&h=360&c=c&q=50,소파,퍼플,200cm x 180cm x 85cm,합성목재,러스틱
124,124,[쿠폰] PH 3. 천연면피 PURE 100% 1인/2인/3~4인 소파,"1,400,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159263436775280405.jpg?w=360&h=360&c=c&q=50,소파,퍼플,190cm x 170cm x 90cm,대나무,인더스트리얼
125,125,"쿠폰가 75,000원 / 제이스 1인용 방수 패브릭 소파","80,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/166934449169513514.jpg?w=360&h=360&c=c&q=50,소파,퍼플,180cm x 160cm x 80cm,코팅철재,트로피컬
126,126,[쿠션&헤드레스트증정][단독]퍼스트 3인 스윙기능 리브 패브릭 소파(스툴 선택),"1,740,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/169164690613225522.jpg?w=360&h=360&c=c&q=50,소파,퍼플,200cm x 190cm x 70cm,스테인레스,모던
127,127,[쿠폰할인][단독] 젬마 4인 기능성 젠위브 패브릭 소파,"2,070,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/167219980752639268.jpg?w=360&h=360&c=c&q=50,소파,퍼플,210cm x 180cm x 75cm,세라믹,클래식
128,128,"쿠폰가 94,000원 / 앤고 아쿠아텍스 2인용 패브릭 소파","99,000",https://prs.ohou.se/apne2/any/uploads/productions/v1-233038847979648.jpg?w=360&h=360&c=c&q=50,소파,핑크,190cm x 200cm x 85cm,목재,미니멀
129,129,"쿠폰가 629,000 / 몽드 4인용 아쿠아텍스 이지클린 조야 패브릭 스윙 소파","649,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/openapi/3922134/1686277842899.jpg?w=360&h=360&c=c&q=50,소파,핑크,200cm x 170cm x 90cm,금속,빈티지
130,130,[쿠션+상품권 증정] 로한 4인용 아쿠아텍스 스웨이드 패브릭소파 9colors,"469,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/169171672763094885.jpg?w=360&h=360&c=c&q=50,소파,핑크,180cm x 180cm x 80cm,플라스틱,컨템포러리
131,131,테르 아쿠아텍스 패브릭 2인용 소파 아이보리/그린/핑크/그레이,"89,900",https://prs.ohou.se/apne2/any/uploads/productions/v1-234935500795904.jpg?w=360&h=360&c=c&q=50,소파,핑크,190cm x 160cm x 70cm,아크릴,스칸디나비아
132,132,신파스텔 초콜렛 좌식의자 6colors,"32,900",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/1528618925564_qNSdte6iU.jpg?w=360&h=360&c=c&q=50,소파,핑크,210cm x 150cm x 75cm,유리,러스틱
133,133,바비 양털 부클레 패브릭 1인 소파 암체어 (스툴포함),"199,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/166632135843762325.jpg?w=360&h=360&c=c&q=50,소파,핑크,200cm x 140cm x 85cm,합성목재,인더스트리얼
134,134,카페 방수패브릭 접이식 소파베드 4colors,"99,000",https://prs.ohou.se/apne2/any/uploads/productions/v1-252209427357696.jpg?w=360&h=360&c=c&q=50,소파,베이지,190cm x 130cm x 90cm,대나무,트로피컬
135,135,"쿠폰가 94,000원 / 앤고 아쿠아텍스 2인용 패브릭 소파","99,000",https://prs.ohou.se/apne2/any/uploads/productions/v1-233038847979648.jpg?w=360&h=360&c=c&q=50,소파,베이지,180cm x 160cm x 80cm,코팅철재,모던
136,136,[단독] 누적판매 3만건! 스테이 아쿠아텍스 2인 소파,"199,000",https://prs.ohou.se/apne2/any/uploads/productions/v1-204424667398208.jpg?w=360&h=360&c=c&q=50,소파,베이지,200cm x 170cm x 70cm,스테인레스,클래식
137,137,냉감소재 OPEN! 모니 패브릭 1인 좌식 쇼파 각도조절 좌식의자 원룸인테리어,"38,900",https://image.ohou.se/i/bucketplace-v2-development/uploads/openapi/597731/1712127677432.jpg?w=360&h=360&c=c&q=50,소파,베이지,210cm x 180cm x 75cm,세라믹,미니멀
138,138,"쿠폰가 116,100원 / MAY 아쿠아텍스 2인소파 2colors","129,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/161904669360939540.jpg?w=360&h=360&c=c&q=50,소파,베이지,190cm x 150cm x 85cm,목재,빈티지
139,139,데이앤나잇 1인 각도조절 좌식 쇼파 2colors 1인용 소파 좌식의자,"27,900",https://image.ohou.se/i/bucketplace-v2-development/uploads/openapi/597731/1712130381017.jpg?w=360&h=360&c=c&q=50,소파,베이지,200cm x 140cm x 90cm,금속,컨템포러리
140,140,카페 방수패브릭 접이식 소파베드 4colors,"99,000",https://prs.ohou.se/apne2/any/uploads/productions/v1-252209427357696.jpg?w=360&h=360&c=c&q=50,소파,브라운,180cm x 170cm x 80cm,플라스틱,스칸디나비아
141,141,카이 가죽 3인 소파 3colors,"299,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/160922767017486785.jpg?w=360&h=360&c=c&q=50,소파,브라운,190cm x 160cm x 70cm,아크릴,러스틱
142,142,한샘몰pick 눕 데일리 구스 아쿠아텍스 패브릭 모듈 소파 스툴 4colors,"115,900",https://prs.ohou.se/apne2/any/uploads/productions/v1-231694402539584.jpg?w=360&h=360&c=c&q=50,소파,브라운,210cm x 150cm x 75cm,유리,인더스트리얼
143,143,한샘몰pick 눕 데일리 구스 아쿠아텍스 패브릭 모듈 소파 1인암리스,"185,900",https://prs.ohou.se/apne2/any/uploads/productions/v1-231694581592128.jpg?w=360&h=360&c=c&q=50,소파,브라운,200cm x 180cm x 85cm,합성목재,트로피컬
144,144,루비 2인쇼파 생활방수 패브릭 소파 7colors,"139,000",https://prs.ohou.se/apne2/any/uploads/productions/v1-236909622976512.jpg?w=360&h=360&c=c&q=50,소파,브라운,190cm x 170cm x 90cm,대나무,모던
145,145,체스터 빈티지 2인 소파 레더룩/우유니/올리브그린/피넛버터(신규색상 추가!!),"199,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/170304773189602890.jpg?w=360&h=360&c=c&q=50,소파,브라운,180cm x 160cm x 80cm,코팅철재,클래식
146,146,카페 방수패브릭 접이식 소파베드 4colors,"99,000",https://prs.ohou.se/apne2/any/uploads/productions/v1-252209427357696.jpg?w=360&h=360&c=c&q=50,소파,그레이,200cm x 190cm x 70cm,스테인레스,미니멀
147,147,한샘몰pick티렌토 리세 아쿠아텍스 3인용 패브릭 소파 3colors,"269,900",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/165882516717645937.jpg?w=360&h=360&c=c&q=50,소파,그레이,210cm x 180cm x 75cm,세라믹,빈티지
148,148,"쿠폰가 75,050원 / 호텔소파원단 패브릭 소파베드 3colors (쿠션증정)","79,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/1561105403576_wW7.jpg?w=360&h=360&c=c&q=50,소파,그레이,190cm x 200cm x 85cm,목재,컨템포러리
149,149,"쿠폰가 338,400원 / 프라제르 아쿠아텍스 4인용 패브릭 소파 (카우치 선택)","376,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/168204564790486727.jpg?w=360&h=360&c=c&q=50,소파,그레이,200cm x 170cm x 90cm,금속,스칸디나비아
150,150,"쿠폰가 94,000원 / 앤고 아쿠아텍스 2인용 패브릭 소파","99,000",https://prs.ohou.se/apne2/any/uploads/productions/v1-233038847979648.jpg?w=360&h=360&c=c&q=50,소파,그레이,180cm x 180cm x 80cm,플라스틱,러스틱
151,151,"쿠폰가 179,550원 / POL 아쿠아텍스 3인소파 2colors(스툴무료증정)","189,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/166745388177629913.jpg?w=360&h=360&c=c&q=50,소파,그레이,190cm x 160cm x 70cm,아크릴,인더스트리얼
152,152,한샘몰pick 눕 데일리 구스 아쿠아텍스 패브릭 모듈 소파 4인용4colors,"711,900",https://prs.ohou.se/apne2/any/uploads/productions/v1-232351687671808.jpg?w=360&h=360&c=c&q=50,소파,화이트,210cm x 150cm x 75cm,유리,트로피컬
153,153,한샘몰pick티렌토 리세 아쿠아텍스 3인용 패브릭 소파 3colors,"269,900",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/165882516717645937.jpg?w=360&h=360&c=c&q=50,소파,화이트,200cm x 140cm x 85cm,합성목재,모던
154,154,"쿠폰가 479,000원 / LOUNGE 아쿠아텍스 4인소파(쿠션3개증정)","499,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/169743330991298261.jpg?w=360&h=360&c=c&q=50,소파,화이트,190cm x 130cm x 90cm,대나무,클래식
155,155,"쿠폰가 75,050원 / 호텔소파원단 패브릭 소파베드 3colors (쿠션증정)","79,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/1561105403576_wW7.jpg?w=360&h=360&c=c&q=50,소파,화이트,180cm x 160cm x 80cm,코팅철재,미니멀
156,156,"쿠폰가 179,550원 / POL 아쿠아텍스 3인소파 2colors(스툴무료증정)","189,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/166745388177629913.jpg?w=360&h=360&c=c&q=50,소파,화이트,200cm x 170cm x 70cm,스테인레스,빈티지
157,157,모아나 가죽/아쿠아텍스 3인용 소파(스툴포함),"178,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/161474487162984019.jpg?w=360&h=360&c=c&q=50,소파,화이트,210cm x 180cm x 75cm,세라믹,컨템포러리
158,158,카이 가죽 3인 소파 3colors,"299,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/160922767017486785.jpg?w=360&h=360&c=c&q=50,소파,블랙,190cm x 150cm x 85cm,목재,스칸디나비아
159,159,쿠폰+헤드레스트 증정~6/23ㅣ바움 천연면피가죽 3인 소파 3colors,"899,000",https://prs.ohou.se/apne2/any/uploads/productions/v1-251875209744448.jpg?w=360&h=360&c=c&q=50,소파,블랙,200cm x 140cm x 90cm,금속,러스틱
160,160,[5%쿠폰]와이드 패브릭 좌식 접이식 소파베드 M/L사이즈 5colors (쿠션2개증정),"85,900",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/168445919719447608.jpg?w=360&h=360&c=c&q=50,소파,블랙,180cm x 170cm x 80cm,플라스틱,인더스트리얼
161,161,쿠폰+헤드레스트 증정~6/23ㅣ바움 천연면피가죽 4인 소파 3color,"1,290,000",https://prs.ohou.se/apne2/any/uploads/productions/v1-251875267330048.jpg?w=360&h=360&c=c&q=50,소파,블랙,190cm x 160cm x 70cm,아크릴,트로피컬
162,162,뮤즈 1인용 생활발수 패브릭 소파 1인 좌식겸용,"139,000",https://prs.ohou.se/apne2/any/uploads/productions/v1-253904451027008.jpg?w=360&h=360&c=c&q=50,소파,블랙,210cm x 150cm x 75cm,유리,모던
163,163,"쿠폰가 189,050원 / 호텔방수원단 접이식 NIS 3인 소파베드 3colors","199,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/168268295720674892.jpg?w=360&h=360&c=c&q=50,소파,블랙,200cm x 180cm x 85cm,합성목재,클래식
164,164,FIHA 서랍장 4.1단 9colors,"34,900",https://prs.ohou.se/apne2/any/uploads/productions/v1-235476349833216.jpg?w=360&h=360&c=c&q=50,서랍,레드,190cm x 170cm x 90cm,대나무,모던
165,165,FIHA 서랍장 5단 9colors,"38,900",https://prs.ohou.se/apne2/any/uploads/productions/v1-223146919116864.jpg?w=360&h=360&c=c&q=50,서랍,레드,180cm x 160cm x 80cm,코팅철재,클래식
166,166,HELMER 6단 이동식 서랍장 4colors,"52,740",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159428315561880259.jpg?w=360&h=360&c=c&q=50,서랍,레드,200cm x 190cm x 70cm,스테인레스,미니멀
167,167,FIHA 서랍장 2.2단 7colors,"38,900",https://prs.ohou.se/apne2/any/uploads/productions/v1-223139515256960.jpg?w=360&h=360&c=c&q=50,서랍,레드,210cm x 180cm x 75cm,세라믹가죽,빈티지
168,168,철제 4/5/6단 서랍장,"38,900",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/169820091732247236.jpg?w=360&h=360&c=c&q=50,서랍,레드,190cm x 200cm x 85cm,패브릭,컨템포러리
169,169,HELMER 철제 서랍장,"55,100",https://prs.ohou.se/apne2/any/uploads/productions/v1-249699586842688.jpg?w=360&h=360&c=c&q=50,서랍,레드,200cm x 90cm x 80cm,인조가죽,스칸디나비아
170,170,케렌시아 패브릭 서랍 수납장 4단 서랍장 미니 수납 수건 양말 서랍,"41,900",https://image.ohou.se/i/bucketplace-v2-development/uploads/openapi/597731/1656038501775.jpg?w=360&h=360&c=c&q=50,서랍,오렌지,220cm x 100cm x 85cm,코튼,러스틱
171,171,HELSINKI(헬싱키) 모듈가구 13colors,"790,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/164982497713581672.jpg?w=360&h=360&c=c&q=50,서랍,오렌지,180cm x 85cm x 75cm,벨벳,인더스트리얼
172,172,아일랜드 서랍장,"199,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/164827680631379233.jpg?w=360&h=360&c=c&q=50,서랍,오렌지,210cm x 95cm x 82cm,린넨,트로피컬
173,173,정점시리즈 5단 서랍장 수납장 12colors,"144,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/169459076045482661.jpg?w=360&h=360&c=c&q=50,서랍,오렌지,230cm x 105cm x 88cm,실크,모던
174,174,케렌시아 패브릭서랍 수납장 2단,"24,900",https://image.ohou.se/i/bucketplace-v2-development/uploads/openapi/597731/1656038479166.jpg?w=360&h=360&c=c&q=50,서랍,오렌지,240cm x 110cm x 90cm,합성섬유,클래식
175,175,[5%쿠폰]모듈 가구 수납장 거실장 TV 서랍장 2단 3단 선반 맞춤 가구(완조립),"159,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/165649085657244216.jpg?w=360&h=360&c=c&q=50,서랍,오렌지,250cm x 115cm x 95cm,메쉬,미니멀
176,176,모듈 가구 거실장 선반 서랍 2단 3단 310 변형 하단 뉴서랍 3x1열 (완제품),"199,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/165639568821231858.jpg?w=360&h=360&c=c&q=50,서랍,오렌지,260cm x 120cm x 100cm,가죽,빈티지
177,177,모듈가구 로봇 청소기 수납 트롤리,"420,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/167635076513712676.jpg?w=360&h=360&c=c&q=50,서랍,오렌지,270cm x 125cm x 105cm,패브릭,컨템포러리
178,178,FIHA 서랍장 4.1단 9colors,"34,900",https://prs.ohou.se/apne2/any/uploads/productions/v1-235476349833216.jpg?w=360&h=360&c=c&q=50,서랍,옐로우,200cm x 90cm x 80cm,인조가죽,스칸디나비아
179,179,FIHA 서랍장 5단 9colors,"38,900",https://prs.ohou.se/apne2/any/uploads/productions/v1-223146919116864.jpg?w=360&h=360&c=c&q=50,서랍,옐로우,220cm x 100cm x 85cm,코튼,러스틱
180,180,FIHA 서랍장 2.2단 7colors,"38,900",https://prs.ohou.se/apne2/any/uploads/productions/v1-223139515256960.jpg?w=360&h=360&c=c&q=50,서랍,옐로우,180cm x 85cm x 75cm,벨벳,인더스트리얼
181,181,스르륵 3단 1200서랍 일반형 E0등급 슬라이딩 미닫이 슬림 수납장,"109,800",https://image.ohou.se/i/bucketplace-v2-development/uploads/openapi/21531603/1699426145225.jpg?w=360&h=360&c=c&q=50,서랍,옐로우,210cm x 95cm x 82cm,린넨,트로피컬
182,182,[단독] 카모토 3단 와이드 서랍장 1200,"128,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/168084759100501692.jpg?w=360&h=360&c=c&q=50,서랍,옐로우,230cm x 105cm x 88cm,실크,모던
183,183,빅블롱 1200 베이직 6단 서랍장 2Color,"154,000",https://prs.ohou.se/apne2/any/uploads/productions/v1-199863223132288.jpg?w=360&h=360&c=c&q=50,서랍,옐로우,240cm x 110cm x 90cm,합성섬유,클래식
184,184,FIHA 서랍장 4.1단 9colors,"34,900",https://prs.ohou.se/apne2/any/uploads/productions/v1-235476349833216.jpg?w=360&h=360&c=c&q=50,서랍,그린,250cm x 115cm x 95cm,메쉬,미니멀
185,185,FIHA 서랍장 5단 9colors,"38,900",https://prs.ohou.se/apne2/any/uploads/productions/v1-223146919116864.jpg?w=360&h=360&c=c&q=50,서랍,그린,260cm x 120cm x 100cm,가죽,빈티지
186,186,비바 1000 3단 와이드 서랍장 겸 화장대 5colors,"157,500",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/165034181130243003.jpg?w=360&h=360&c=c&q=50,서랍,그린,270cm x 125cm x 105cm,패브릭,컨템포러리
187,187,아트시리즈 5단 서랍장 800 와이드 수납 5colors,"160,000",https://prs.ohou.se/apne2/any/uploads/productions/v1-234815273496704.jpg?w=360&h=360&c=c&q=50,서랍,그린,200cm x 90cm x 80cm,인조가죽,스칸디나비아
188,188,ALEX 알렉스 서랍유닛 36x70cm,"97,900",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/15650448028492_sdn8G.jpg?w=360&h=360&c=c&q=50,서랍,그린,220cm x 100cm x 85cm,코튼,러스틱
189,189,포인트컬러 9단 콘솔 수납장 5colors,"479,000",https://prs.ohou.se/apne2/any/uploads/productions/v1-222863291949120.jpg?w=360&h=360&c=c&q=50,서랍,그린,180cm x 85cm x 75cm,벨벳,인더스트리얼
190,190,아트 템바보드 5단 600 틈새 슬림 서랍장 6color,"147,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/163403366873106832.jpg?w=360&h=360&c=c&q=50,서랍,그린,210cm x 95cm x 82cm,린넨,트로피컬
191,191,북유럽 로미3단 서랍장 10colors,"29,400",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/157728548654904523.jpg?w=360&h=360&c=c&q=50,서랍,그린,230cm x 105cm x 88cm,실크,모던
192,192,HELMER 6단 이동식 서랍장 4colors,"52,740",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159428315561880259.jpg?w=360&h=360&c=c&q=50,서랍,라이트블루,240cm x 110cm x 90cm,합성섬유,클래식
193,193,헬메르 철제 이동식서랍장 책상밑 (이중박스포장),"62,900",https://prs.ohou.se/apne2/any/uploads/productions/v1-204356443439168.jpg?w=360&h=360&c=c&q=50,서랍,라이트블루,250cm x 115cm x 95cm,메쉬,미니멀
194,194,철제 4/5/6단 서랍장,"38,900",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/169820091732247236.jpg?w=360&h=360&c=c&q=50,서랍,라이트블루,260cm x 120cm x 100cm,가죽,빈티지
195,195,플랜트 템바보드 옷 와이드 3단 서랍장 5color,"179,800",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/162019899899209140.jpg?w=360&h=360&c=c&q=50,서랍,라이트블루,270cm x 125cm x 105cm,패브릭,컨템포러리
196,196,철제5단서랍장 수납장,"40,900",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159479055541260913.jpg?w=360&h=360&c=c&q=50,서랍,라이트블루,200cm x 90cm x 80cm,인조가죽,스칸디나비아
197,197,철제3단서랍장 수납장,"30,900",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159479013632430049.jpg?w=360&h=360&c=c&q=50,서랍,라이트블루,220cm x 100cm x 85cm,코튼,러스틱
198,198,철제4단서랍장 수납장,"40,900",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/162736769287880975.jpg?w=360&h=360&c=c&q=50,서랍,라이트블루,180cm x 85cm x 75cm,벨벳,인더스트리얼
199,199,플랜트 템바보드 높은 5단 수납 서랍장 5color,"182,800",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/162019931628393639.jpg?w=360&h=360&c=c&q=50,서랍,라이트블루,210cm x 95cm x 82cm,린넨,트로피컬
200,200,샤인-1000 1200 3단 와이드 서랍장 수납장 거실장 5color,"108,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/169345186862807627.jpg?w=360&h=360&c=c&q=50,서랍,네이비,230cm x 105cm x 88cm,실크,모던
201,201,포드 템바보드 3단 와이드 옷 서랍장 1200 3color,"152,800",https://image.ohou.se/i/bucketplace-v2-development/uploads/openapi/9139521/1652766442020.jpg?w=360&h=360&c=c&q=50,서랍,네이비,240cm x 110cm x 90cm,합성섬유,클래식
202,202,릴리 800 서랍형 높은 수납장 5colors,"149,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/167143517445285919.jpg?w=360&h=360&c=c&q=50,서랍,네이비,250cm x 115cm x 95cm,메쉬,미니멀
203,203,쏘르니 미니멀 500 서랍장 3단서랍장 3COLORS,"68,900",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159799374046568828.jpg?w=360&h=360&c=c&q=50,서랍,네이비,260cm x 120cm x 100cm,가죽,빈티지
204,204,HELSINKI(헬싱키) 모듈가구 13colors,"790,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/164982497713581672.jpg?w=360&h=360&c=c&q=50,서랍,네이비,270cm x 125cm x 105cm,패브릭,컨템포러리
